"('mid',)","('genre',)"
tt0023470,History
tt0023488,Drama
tt0023488,Romance
tt0023491,Drama
tt0023491,Romance
tt0023498,Comedy
tt0023551,Action
tt0023551,Adventure
tt0023551,Romance
tt0023556,Crime
tt0023556,Drama
tt0023556,Romance
tt0023563,Crime
tt0023563,Mystery
tt0023563,Thriller
tt0023582,Drama
tt0023582,Horror
tt0023582,Mystery
tt0023590,Crime
tt0023590,Drama
tt0023590,Romance
tt0023622,Comedy
tt0023622,Crime
tt0023622,Romance
tt0023629,Drama
tt0023629,Thriller
tt0023634,Comedy
tt0023634,Drama
tt0023649,Fantasy
tt0023649,Horror
tt0023686,Drama
tt0023694,Horror
tt0023731,Crime
tt0023731,Drama
tt0023731,Film-Noir
tt0023753,Adventure
tt0023753,Family
tt0023753,Fantasy
tt0023775,Drama
tt0023775,Romance
tt0023814,Drama
tt0023814,Romance
tt0023814,War
tt0023825,Comedy
tt0023825,Drama
tt0023825,Romance
tt0023856,Comedy
tt0023856,Crime
tt0023856,Drama
tt0023871,Comedy
tt0023871,Musical
tt0023876,Drama
tt0023876,Romance
tt0023876,War
tt0023891,Action
tt0023891,Adventure
tt0023891,Drama
tt0023911,Comedy
tt0023911,Drama
tt0023926,Comedy
tt0023926,Musical
tt0023926,Romance
tt0023935,Comedy
tt0023935,Crime
tt0023935,Drama
tt0023937,Drama
tt0023940,Comedy
tt0023940,Romance
tt0023943,Comedy
tt0023943,Musical
tt0023948,Drama
tt0023960,Comedy
tt0023960,Drama
tt0023969,Comedy
tt0023969,Musical
tt0023973,Action
tt0023973,Drama
tt0023973,War
tt0023985,Drama
tt0023985,Music
tt0023986,Drama
tt0023986,Romance
tt0023993,Comedy
tt0023993,Drama
tt0024008,Comedy
tt0024008,Drama
tt0024008,Romance
tt0024025,Comedy
tt0024025,Musical
tt0024025,Romance
tt0024028,Comedy
tt0024028,Musical
tt0024028,Romance
tt0024034,Comedy
tt0024034,Drama
tt0024034,Musical
tt0024044,Drama
tt0024044,Fantasy
tt0024044,Romance
tt0024055,Action
tt0024055,Drama
tt0024055,Horror
tt0024067,Musical
tt0024067,Romance
tt0024069,Comedy
tt0024069,Drama
tt0024069,Musical
tt0024087,Biography
tt0024115,Drama
tt0024115,Romance
tt0024115,War
tt0024127,Drama
tt0024130,Drama
tt0024130,Romance
tt0024166,Comedy
tt0024166,Music
tt0024166,Romance
tt0024183,Comedy
tt0024184,Horror
tt0024184,Sci-Fi
tt0024188,Horror
tt0024188,Sci-Fi
tt0024210,Crime
tt0024210,Mystery
tt0024216,Adventure
tt0024216,Horror
tt0024216,Sci-Fi
tt0024238,Drama
tt0024239,Comedy
tt0024239,Crime
tt0024240,Comedy
tt0024240,Drama
tt0024252,Drama
tt0024252,Romance
tt0024262,Comedy
tt0024262,Crime
tt0024262,Romance
tt0024264,Drama
tt0024264,Family
tt0024264,Romance
tt0024302,Drama
tt0024302,Romance
tt0024314,Crime
tt0024314,Drama
tt0024314,Romance
tt0024334,Crime
tt0024334,Drama
tt0024334,Romance
tt0024353,Drama
tt0024353,Romance
tt0024360,Crime
tt0024360,Horror
tt0024368,Horror
tt0024368,Mystery
tt0024368,Thriller
tt0024402,Drama
tt0024402,War
tt0024426,Drama
tt0024433,Drama
tt0024433,Romance
tt0024435,Crime
tt0024435,Mystery
tt0024435,Romance
tt0024450,Crime
tt0024450,Drama
tt0024473,Drama
tt0024481,Biography
tt0024481,Drama
tt0024481,Romance
tt0024500,Music
tt0024500,Romance
tt0024500,Western
tt0024516,Western
tt0024548,Comedy
tt0024548,Drama
tt0024548,History
tt0024593,Adventure
tt0024593,Family
tt0024593,Horror
tt0024601,Comedy
tt0024601,Family
tt0024617,Drama
tt0024675,Drama
tt0024675,Romance
tt0024675,War
tt0024727,Drama
tt0024727,Horror
tt0024727,Mystery
tt0024747,Biography
tt0024747,Music
tt0024747,Romance
tt0024772,Adventure
tt0024772,Drama
tt0024785,Comedy
tt0024785,Drama
tt0024785,Romance
tt0024831,Comedy
tt0024831,Drama
tt0024831,Family
tt0024844,Comedy
tt0024844,Drama
tt0024844,Romance
tt0024852,Comedy
tt0024852,Family
tt0024852,Fantasy
tt0024865,Biography
tt0024865,Drama
tt0024865,Romance
tt0024894,Adventure
tt0024894,Crime
tt0024894,Horror
tt0024902,Western
tt0024906,Drama
tt0024906,Romance
tt0024914,Comedy
tt0024914,Drama
tt0024914,Family
tt0024916,Comedy
tt0024916,Drama
tt0024961,Comedy
tt0024966,Biography
tt0024966,Drama
tt0024966,History
tt0024968,Crime
tt0024968,Drama
tt0024968,Mystery
tt0024989,Drama
tt0024989,Mystery
tt0024989,Romance
tt0024991,Biography
tt0024991,Drama
tt0024991,History
tt0025004,Action
tt0025004,Adventure
tt0025004,Drama
tt0025028,Comedy
tt0025028,Music
