"('mid',)","('pid',)"
tt0030746,nm0924065
tt0030755,nm0514822
tt0030764,nm0045800
tt0030824,nm0090007
tt0030824,nm0730018
tt0030845,nm0627864
tt0030848,nm0281808
tt0030865,nm0097648
tt0030879,nm0176699
tt0030944,nm0828419
tt0030989,nm0176699
tt0030993,nm0001008
tt0030996,nm0000485
tt0031002,nm0908831
tt0031002,nm0861703
tt0031002,nm0587277
tt0031002,nm0695456
tt0031020,nm0861703
tt0031022,nm0921288
tt0031033,nm0782682
tt0031047,nm0886754
tt0031060,nm0125636
tt0031066,nm0000923
tt0031067,nm0437717
tt0031088,nm0920074
tt0031143,nm0637790
tt0031147,nm0287988
tt0031148,nm0498584
tt0031149,nm0287988
tt0031173,nm0514822
tt0031208,nm0838820
tt0031210,nm0332539
tt0031225,nm0550892
tt0031235,nm0002031
tt0031252,nm0000406
tt0031260,nm0445033
tt0031302,nm0478441
tt0031314,nm0268513
tt0031322,nm0840042
tt0031334,nm0466113
tt0031359,nm0225555
tt0031377,nm0541149
tt0031381,nm0281808
tt0031381,nm0939992
tt0031381,nm0002030
tt0031385,nm0939992
tt0031385,nm0291548
tt0031387,nm0245385
tt0031397,nm0281487
tt0031397,nm0101466
tt0031397,nm0130725
tt0031397,nm0186276
tt0031397,nm0377431
tt0031397,nm0396043
tt0031397,nm0426322
tt0031397,nm0446041
tt0031397,nm0460667
tt0031397,nm0498984
tt0031397,nm0622451
tt0031397,nm0658476
tt0031398,nm0828419
tt0031448,nm0485647
tt0031455,nm0226189
tt0031473,nm0113284
tt0031477,nm0188669
tt0031491,nm0711855
tt0031500,nm0886754
tt0031505,nm0000033
tt0031507,nm0454771
tt0031507,nm0191899
tt0031514,nm0138893
tt0031516,nm0226189
tt0031536,nm0782597
tt0031580,nm0485943
tt0031580,nm0782682
tt0031593,nm0564970
tt0031602,nm0188669
tt0031614,nm0342417
tt0031619,nm0001843
tt0031647,nm0500552
tt0031678,nm0287988
tt0031679,nm0001008
tt0031709,nm0166058
tt0031725,nm0523932
tt0031742,nm0587277
tt0031747,nm0045800
tt0031750,nm0332539
tt0031754,nm0118807
tt0031762,nm0001328
tt0031826,nm0002031
tt0031835,nm0113284
tt0031842,nm0368871
tt0031851,nm0792605
tt0031867,nm0909825
tt0031885,nm0719756
tt0031951,nm0498174
tt0031968,nm0003836
tt0031971,nm0000406
tt0031973,nm0112897
tt0031973,nm0454771
tt0031976,nm0715346
tt0031981,nm0191899
tt0031983,nm0693281
tt0032007,nm0861703
tt0032022,nm0000923
tt0032043,nm0572851
tt0032049,nm0498174
tt0032080,nm0001124
tt0032138,nm0281808
tt0032138,nm0002030
tt0032138,nm0896542
tt0032138,nm0503777
tt0032138,nm0861703
tt0032138,nm0851537
tt0032143,nm0002030
tt0032145,nm0943758
tt0032152,nm0166836
tt0032152,nm0550892
tt0032153,nm0782597
tt0032155,nm0000406
tt0032156,nm0003226
tt0032179,nm0212704
tt0032181,nm0188669
tt0032186,nm0124571
tt0032194,nm0514822
tt0032209,nm0005716
tt0032209,nm0372942
tt0032215,nm0631438
tt0032221,nm0749484
tt0032234,nm0166836
tt0032245,nm0342417
tt0032247,nm0840042
tt0032258,nm0523893
tt0032264,nm0485943
tt0032273,nm0176699
tt0032281,nm0368871
tt0032283,nm0002542
tt0032284,nm0851537
tt0032285,nm0045800
tt0032324,nm0794973
tt0032325,nm0287988
tt0032326,nm0285946
tt0032338,nm0002545
tt0032339,nm0332531
tt0032342,nm0514822
tt0032342,nm0624535
tt0032349,nm0896542
tt0032356,nm0003836
tt0032376,nm0215877
tt0032376,nm0002188
tt0032383,nm0909825
tt0032390,nm0946391
tt0032404,nm0631438
tt0032410,nm0191899
tt0032412,nm0774325
tt0032413,nm0226189
tt0032432,nm0113284
tt0032455,nm0359610
tt0032455,nm0789313
tt0032455,nm0359457
tt0032455,nm0730860
tt0032455,nm0272568
tt0032455,nm0414144
tt0032455,nm0019282
tt0032455,nm1968474
tt0032455,nm0373429
tt0032455,nm0766402
tt0032455,nm0035899
tt0032455,nm0527217
tt0032457,nm0631438
tt0032467,nm0445033
tt0032475,nm0066247
tt0032475,nm0853028
tt0032484,nm0000033
tt0032520,nm0550892
tt0032536,nm0125636
tt0032551,nm0000406
tt0032553,nm0000122
tt0032554,nm0002545
tt0032599,nm0001328
